zuQbX4zm,16.03.2022 16:00,Scheduled,Lama G. ,Etcheverry T. M. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,3.00,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:59.337423
lh9k3W7n,16.03.2022 16:00,Scheduled,Tirante T. A. ,Furness E. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,1.57,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:02.832286
OGAvhXiH,16.03.2022 17:30,Scheduled,Dellien H. ,Jubb P. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,1.36,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:06.328002
6wsAU2K5,16.03.2022 17:30,Scheduled,Ugo Carabelli C. ,Diez S. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,1.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:09.893089
OMuvyc1J,16.03.2022 03:30,Cancelled,Carballes Baena R. ,Gasquet R. ,Men,CHALLENGER,Phoenix,Main,,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:13.445982
SfOMSY8a,0,Live,Popyrin Al. ,Musetti L. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,1.90,1.80,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022-03-16 04:49:05.943953
YeVDUfvm,16.03.2022 19:00,Scheduled,Baez S. ,Bagnis F. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,1.40,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:20.357724
0I9GBMrU,16.03.2022 19:00,Scheduled,Simon G. ,Eubanks C. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:23.885713
UXqQVPTo,16.03.2022 19:00,Scheduled,Wolf J. ,Purcell M. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:27.387607
IgKBC2TN,16.03.2022 20:30,Scheduled,Krueger M. ,Kudla D. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:30.899268
ATG3EObB,16.03.2022 20:30,Scheduled,Kukushkin M. ,Gasquet R. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:34.445979
KlFcS4cJ,16.03.2022 20:30,Scheduled,Vukic A. ,Altmaier D. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,1.61,2.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:38.067071
GKKITEgg,16.03.2022 22:00,Scheduled,Gaston H. ,Majchrzak K. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,2.50,1.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:41.634711
8OrUUqqh,16.03.2022 22:00,Scheduled,Kovacevic A. ,Goffin D. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:45.506073
2Rer7tio,16.03.2022 22:00,Scheduled,Moraing M. ,Struff J-L. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:49.083548
f5W9VzPt,16.03.2022 23:30,Scheduled,Cecchinato M. ,Verdasco F. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,4.33,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:52.625654
6oBgTprD,16.03.2022 23:30,Scheduled,Otte O. ,Albot R. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,1.57,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:56.198965
CAQObda3,16.03.2022 12:30,Scheduled,Serdarusic N. ,Cobolli F. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,2.10,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:02:59.652351
Y3PdJATt,16.03.2022 12:30,Scheduled,Skatov T. ,Elias G. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,1.83,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:03:03.202676
Icvk2wxE,16.03.2022 13:00,Interrupted,Kovalik J. ,Borges N. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/16-finals,Clay,Outdoor,2.37,1.53,1,1,6,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2022-03-16 04:03:06.686141
